"country","country_name","iso_name","lat_center","long_center","year","gdp_pps","unemployment","sucide_rate_total","sucide_rate_total_"
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2011,100,9.7,12.39,NA
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2012,100,10.6,12.38,-0.1
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2013,100,11.2,12.25,-1.1
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2014,100,10.7,11.81,-3.6
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2015,100,9.9,11.39,-3.6
"Belgium","Belgium","BEL",50.503887,4.469936,2011,119,6.9,19.27,NA
"Belgium","Belgium","BEL",50.503887,4.469936,2012,121,7.4,18.78,-2.5
"Belgium","Belgium","BEL",50.503887,4.469936,2013,121,8.3,17.3,-7.9
"Belgium","Belgium","BEL",50.503887,4.469936,2014,121,8.4,17.29,-0.1
"Belgium","Belgium","BEL",50.503887,4.469936,2015,121,8.4,16.85,-2.5
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2011,46,11.1,10.4,NA
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2012,47,12.1,12.11,16.4
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2013,46,12.8,9.78,-19.2
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2014,47,11.4,9.91,1.3
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2015,48,9.1,9.34,-5.8
"Czechia","Czechia","CZE",49.817492,15.472962,2011,84,6.5,15.2,NA
"Czechia","Czechia","CZE",49.817492,15.472962,2012,84,6.8,15.97,5.1
"Czechia","Czechia","CZE",49.817492,15.472962,2013,86,6.8,15.18,-4.9
"Czechia","Czechia","CZE",49.817492,15.472962,2014,88,6,14.36,-5.4
"Czechia","Czechia","CZE",49.817492,15.472962,2015,89,5,13.25,-7.7
"Denmark","Denmark","DNK",56.26392,9.501785,2011,129,7,11.11,NA
"Denmark","Denmark","DNK",56.26392,9.501785,2012,129,7.2,12.22,10
"Denmark","Denmark","DNK",56.26392,9.501785,2013,130,6.9,11.28,-7.7
"Denmark","Denmark","DNK",56.26392,9.501785,2014,129,6.5,11.91,5.6
"Denmark","Denmark","DNK",56.26392,9.501785,2015,128,6,10.21,-14.3
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2011,124,5.8,12.14,NA
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2012,124,5.4,11.77,-3
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2013,125,5.2,11.9,1.1
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2014,127,5,11.94,0.3
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2015,125,4.6,11.68,-2.2
"Estonia","Estonia","EST",58.595272,25.013607,2011,72,12.2,16.31,NA
"Estonia","Estonia","EST",58.595272,25.013607,2012,75,10,18.4,12.8
"Estonia","Estonia","EST",58.595272,25.013607,2013,77,8.6,16.96,-7.8
"Estonia","Estonia","EST",58.595272,25.013607,2014,79,7.3,18.31,8
"Estonia","Estonia","EST",58.595272,25.013607,2015,77,6.1,15.89,-13.2
"Ireland","Ireland","IRL",53.41291,-8.24389,2011,131,14.9,12.09,NA
"Ireland","Ireland","IRL",53.41291,-8.24389,2012,133,14.9,12.12,0.2
"Ireland","Ireland","IRL",53.41291,-8.24389,2013,133,13.3,11.07,-8.7
"Ireland","Ireland","IRL",53.41291,-8.24389,2014,138,11.5,10.79,-2.5
"Ireland","Ireland","IRL",53.41291,-8.24389,2015,181,9.6,9.49,-12
"Greece","Greece","GRC",39.074208,21.824312,2011,75,17.8,4.21,NA
"Greece","Greece","GRC",39.074208,21.824312,2012,71,24.3,4.43,5.2
"Greece","Greece","GRC",39.074208,21.824312,2013,72,27.3,4.77,7.7
"Greece","Greece","GRC",39.074208,21.824312,2014,72,26.4,4.99,4.6
"Greece","Greece","GRC",39.074208,21.824312,2015,70,24.9,4.69,-6
"Spain","Spain","ESP",40.463667,-3.74922,2011,93,20.9,6.74,NA
"Spain","Spain","ESP",40.463667,-3.74922,2012,91,24.3,7.43,10.2
"Spain","Spain","ESP",40.463667,-3.74922,2013,90,25.6,8.14,9.6
"Spain","Spain","ESP",40.463667,-3.74922,2014,91,24.1,8.17,0.4
"Spain","Spain","ESP",40.463667,-3.74922,2015,91,21.7,7.51,-8.1
"France","France","FRA",46.227638,2.213749,2011,109,8.7,16.83,NA
"France","France","FRA",46.227638,2.213749,2012,108,9.3,15.71,-6.7
"France","France","FRA",46.227638,2.213749,2013,110,9.8,15.48,-1.5
"France","France","FRA",46.227638,2.213749,2014,108,9.8,14.09,-9
"France","France","FRA",46.227638,2.213749,2015,107,9.9,14.12,0.2
"Croatia","Croatia","HRV",45.1,15.2,2011,60,13.2,16.57,NA
"Croatia","Croatia","HRV",45.1,15.2,2012,61,15.5,18.23,10
"Croatia","Croatia","HRV",45.1,15.2,2013,61,16.6,16.18,-11.2
"Croatia","Croatia","HRV",45.1,15.2,2014,60,16.5,16.84,4.1
"Croatia","Croatia","HRV",45.1,15.2,2015,60,15.5,17.32,2.9
"Italy","Italy","ITA",41.87194,12.56738,2011,105,8.1,6.51,NA
"Italy","Italy","ITA",41.87194,12.56738,2012,103,10.3,6.68,2.6
"Italy","Italy","ITA",41.87194,12.56738,2013,100,11.9,6.64,-0.6
"Italy","Italy","ITA",41.87194,12.56738,2014,98,12.5,6.32,-4.8
"Italy","Italy","ITA",41.87194,12.56738,2015,97,11.7,6.07,-4
"Cyprus","Cyprus","CYP",35.126413,33.429859,2011,97,7.8,3.97,NA
"Cyprus","Cyprus","CYP",35.126413,33.429859,2012,91,11.8,3.82,-3.8
"Cyprus","Cyprus","CYP",35.126413,33.429859,2013,84,15.8,5.19,35.9
"Cyprus","Cyprus","CYP",35.126413,33.429859,2014,81,16,4.5,-13.3
"Cyprus","Cyprus","CYP",35.126413,33.429859,2015,83,14.9,4.45,-1.1
"Latvia","Latvia","LVA",56.879635,24.603189,2011,58,16.1,21.23,NA
"Latvia","Latvia","LVA",56.879635,24.603189,2012,61,14.9,21.82,2.8
"Latvia","Latvia","LVA",56.879635,24.603189,2013,63,11.9,19.05,-12.7
"Latvia","Latvia","LVA",56.879635,24.603189,2014,64,10.9,18.96,-0.5
"Latvia","Latvia","LVA",56.879635,24.603189,2015,65,9.9,19.34,2
"Lithuania","Lithuania","LTU",55.169438,23.881275,2011,67,15.4,33.38,NA
"Lithuania","Lithuania","LTU",55.169438,23.881275,2012,71,13.5,30.69,-8.1
"Lithuania","Lithuania","LTU",55.169438,23.881275,2013,74,11.9,36.12,17.7
"Lithuania","Lithuania","LTU",55.169438,23.881275,2014,76,10.8,31.51,-12.8
"Lithuania","Lithuania","LTU",55.169438,23.881275,2015,75,9.2,30.28,-3.9
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2011,267,4.8,11.48,NA
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2012,263,5,10.69,-6.9
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2013,264,5.7,9.29,-13.1
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2014,272,5.6,13.36,43.8
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2015,272,6.3,13.91,4.1
"Hungary","Hungary","HUN",47.162494,19.503304,2011,67,11,24.61,NA
"Hungary","Hungary","HUN",47.162494,19.503304,2012,67,10.9,24.14,-1.9
"Hungary","Hungary","HUN",47.162494,19.503304,2013,68,10,21.24,-12
"Hungary","Hungary","HUN",47.162494,19.503304,2014,69,7.6,19.42,-8.6
"Hungary","Hungary","HUN",47.162494,19.503304,2015,70,6.7,19.03,-2
"Netherlands","Netherlands","NLD",52.132633,5.291266,2011,135,4.4,10.01,NA
"Netherlands","Netherlands","NLD",52.132633,5.291266,2012,136,5.2,10.67,6.6
"Netherlands","Netherlands","NLD",52.132633,5.291266,2013,137,6.7,11.32,6.1
"Netherlands","Netherlands","NLD",52.132633,5.291266,2014,133,6.9,11.12,-1.8
